Time t / s;Voltage U_A1 / V;Voltage U_B1 / V;Collector current I_A / nA;Acceleration voltage U_B / V
36,4;12,855;7,91;12,855;79,1
36,5;12,855;7,91;12,855;79,1
36,6;12,855;7,91;12,855;79,1
36,7;12,855;7,91;12,855;79,1
36,799;12,855;7,91;12,855;79,1
36,9;12,855;7,91;12,855;79,1
37,001;12,855;7,91;12,855;79,1
37,1;12,855;7,91;12,855;79,1
37,2;12,855;7,91;12,855;79,1
37,3;12,855;7,91;12,855;79,1
37,4;12,855;7,91;12,855;79,1
37,5;12,855;7,91;12,855;79,1
37,6;12,855;7,91;12,855;79,1
37,7;12,855;7,91;12,855;79,1
37,8;12,855;7,91;12,855;79,1
37,899;12,855;7,91;12,855;79,1
38;12,855;7,91;12,855;79,1
38,1;12,855;7,91;12,855;79,1
38,2;12,855;7,91;12,855;79,1
38,3;12,855;7,91;12,855;79,1
38,4;12,855;7,91;12,855;79,1
38,5;12,855;7,91;12,855;79,1
38,601;12,855;7,91;12,855;79,1
38,7;12,855;7,91;12,855;79,1
38,8;12,855;7,91;12,855;79,1
38,9;12,855;7,91;12,855;79,1
39;12,855;7,91;12,855;79,1
39,1;12,855;7,91;12,855;79,1
39,201;12,855;7,91;12,855;79,1
39,299;12,855;7,91;12,855;79,1
39,4;12,855;7,91;12,855;79,1
39,499;12,855;7,91;12,855;79,1
39,599;12,855;7,91;12,855;79,1
39,7;12,855;7,91;12,855;79,1
39,801;12,855;7,91;12,855;79,1
39,9;12,855;7,91;12,855;79,1
